id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3861476,venicelocalliving.com 341,16577861,John,,Venice,33.99820213321703,-118.47619643820526,Entire home/apt,145,1,4,2015-05-08,0.4,10,304
6431889,Turquoise Jewel at Venice Beach,18993265,Greg,,Venice,33.985100229193876,-118.46973764086718,Entire home/apt,175,1,0,,,1,76
5754633,Terrane Resort - Oceanfront Suite,15241342,Monica,,Rancho Palos Verdes,33.74015214748673,-118.39575377683676,Private room,295,2,0,,,2,310
6302541,Hollywood Hot Spot,32776680,Alix,,Hollywood,34.09995512446399,-118.31158376864549,Private room,110,1,0,,,1,362
4469657,Main Street Retreat,10658835,Brandon,,Venice,33.997268506762865,-118.47874397466681,Entire home/apt,600,7,0,,,11,328
198613,Stylish Bungalow House-Melrose Area,969656,Jeffrey,,Hollywood,34.08716432834705,-118.34408335509971,Entire home/apt,95,1,11,2014-08-25,0.3,1,293
2994256,Private BD/3 BD Cali Casual Home,15241281,Valerie,,West Hollywood,34.094076206639095,-118.34993719943532,Private room,90,1,2,2014-09-01,0.2,2,365
3972305,Walk to LACMA & the Grove,11712907,Rochelle,,Beverly Grove,34.06859933140163,-118.36368482699213,Entire home/apt,274,3,3,2015-04-08,0.6,1,307
1245087,PRIME LOCATION IN N.HOLLYWOOD- 2 BD,4924261,Fanny,,North Hollywood,34.16056822110806,-118.37635945206438,Entire home/apt,99,2,10,2015-04-06,0.5,1,26
2650178,Venice Villetta,13566359,Erick,,Venice,34.000626514495316,-118.46740168937603,Entire home/apt,159,2,57,2015-05-08,4.3,2,308
6477172,2 bedroom 2 bathroom luxury apt,29753813,Eve And Michael,,Hollywood Hills West,34.09713695804464,-118.36568681015123,Entire home/apt,200,1,0,,,2,7
479165,charming vintage  1930's duplex,1034827,Mindy,,Long Beach,33.76899250648085,-118.17712751228747,Entire home/apt,150,3,0,,,1,365
1212511,1932 Guest house w/Spanish Charm,6619140,Jane And Gene,,San Pedro,33.72607888779269,-118.30079722214042,Entire home/apt,140,2,26,2015-04-29,1.1,1,300
5979141,Great Location - Private Entry!,28659018,Jeffry,,Baldwin Hills/Crenshaw,34.00243408694065,-118.35749777181563,Private room,54,1,3,2015-05-13,2.5,2,185
495207,Arty Venice compound w/huge yard,2154178,Dawn,,Venice,33.9881652442278,-118.46339565617484,Entire home/apt,300,3,10,2015-01-03,0.3,1,140
776201,STUDENT HOUSING,1497543,Kellie,,Arlington Heights,34.04566841217473,-118.31367673354403,Shared room,38,3,9,2015-01-05,0.4,15,358
6391778,Amazing view from urban sanctuary,6867897,Nina,,Downtown,34.04929735499142,-118.2487092689312,Entire home/apt,169,1,0,,,1,356
5488107,Hollywood Beauty - Silver Lake!!! ,14727082,Philip,,East Hollywood,34.09417447742023,-118.28755955077682,Entire home/apt,139,1,0,,,9,273
5298927,Bedroom+own bath. Great location!,27447557,Misty,,Glendale,34.120081454956654,-118.2545407569423,Private room,55,1,4,2015-05-03,1.4,1,64
4625231,Elegant Retreat in Topanga Canyon!,23919209,Sue,,Topanga,34.091456214278104,-118.59949964101436,Entire home/apt,375,1,0,,,1,159
5238538,洛杉矶Pasadena老街高级公寓套房独立卫生可长短租,23297576,楠,,Pasadena,34.144680592623594,-118.15197446932284,Shared room,119,1,0,,,1,86
6250143,罗兰岗双床大套房，独立卫生间,24621701,Yanfang,,Rowland Heights,33.986081778130405,-117.90488383951133,Private room,40,3,0,,,3,307
661615,"Beach Access Studio, Marina Del Rey",2843044,Marina Del Rey,,Venice,33.97727306107017,-118.46481808233871,Private room,125,2,1,2013-07-19,0.0,2,239
6412905,2 + 2 Glendale Americana,21068141,GaTe,,Glendale,34.14467216470939,-118.25545464951662,Entire home/apt,265,14,0,,,3,365
4794649,PRIME WEST HOLLYWOOD 2BR UNIT!,24709006,David,,West Hollywood,34.0795238022372,-118.38339246378798,Entire home/apt,215,1,0,,,2,313
2243670,Apartment with Rooftop Pool,9941066,Eleana,,West Hollywood,34.087703079402345,-118.37788189659716,Entire home/apt,135,1,48,2015-05-20,6.0,2,252
6018478,Hollywood Loft - Melrose Hill!!!,30950920,Margalytte,,East Hollywood,34.08811746488718,-118.30574150078856,Entire home/apt,75,1,0,,,16,295
6289899,Adorable private room,10837656,Lia,,Hollywood Hills,34.107145080549536,-118.31669471445132,Private room,120,7,0,,,4,350
1267323,Mid Century Post and Beam Seclusion,6898515,Sarah,,Altadena,34.17994918902242,-118.12281276628066,Entire home/apt,150,7,1,2013-09-18,0.0,1,346
731333,2 bd 2 bath Venice Beach House ,3762008,Brad,,Venice,33.99059318551876,-118.44988853280711,Entire home/apt,250,7,4,2013-08-01,0.1,1,184
1283823,KTown Zen Oasis w/ Private yard!!!,6562223,Mariano,,Westlake,34.06098188927058,-118.28603613070834,Entire home/apt,155,2,92,2015-05-10,3.9,5,292
6505664,cool house,34007107,Adrienne,,Pico-Union,34.044899003212265,-118.27968651146332,Shared room,10,1,0,,,1,0
5137473,Walk To Everything Luxury Resort!,11615105,Dave,,Downtown,34.049272583774034,-118.26396244108999,Entire home/apt,109,1,28,2015-05-24,7.1,6,328
186107,Dreamy Beach Penthouse Apartment!,893856,Fatima,,Santa Monica,34.012804636496156,-118.49594151049172,Entire home/apt,185,1,91,2015-05-08,2.0,1,359
500876,Hollywood Furnished Studio Apt #1,2442084,Herbert,,Hollywood,34.093091005385844,-118.33036882457864,Entire home/apt,99,3,10,2015-03-05,0.3,2,341
3779836,Great location mins from everywhere,19388430,George,,Studio City,34.14187465457174,-118.368840966916,Private room,125,1,0,,,1,365
6144567,Prv. Room 5 Min 2 Universal Studios,31870064,Mildred,,North Hollywood,34.192922860582655,-118.37778564933879,Private room,65,1,0,,,1,365
4842363,Cozy Redondo Beach Apartment ,21890744,Parker,,Torrance,33.810718989046144,-118.390219642439,Entire home/apt,125,1,2,2015-04-21,1.3,1,28
4778494,Great Apartment in the heart of LA,24643323,Brenda,,Westlake,34.056762878576194,-118.25655206287487,Private room,63,1,0,,,1,322
4324111,HOLLYWOOD VINE APT - WALK OF FAME,9762413,Kate,,Hollywood,34.101021533844474,-118.3266449411201,Entire home/apt,99,1,41,2015-05-09,5.6,14,298
2844501,Private Mountaintop Sunrises,2160782,Lorena,,Mount Washington,34.106705652588715,-118.20678125362117,Entire home/apt,75,3,55,2015-05-09,4.3,2,283
