id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13006928,Miller Ranch Bunkhouse,71743973,Beverly,,Acton,34.51548577694994,-118.23074234186498,Entire home/apt,150,1,1,2016-06-27,1,1,16
8909380,Nice quiet private ranch house,44800067,Kevin,,Acton,34.485430564181286,-118.12537950350718,Private room,45,1,12,2016-06-26,1.69,1,365
10538813,Robert Ranch Resorts in Los Angeles,54345288,Robert,,Acton,34.53162768768395,-118.22716541646089,Entire home/apt,1158,1,4,2016-06-12,0.94,1,332
5851860,URBAN Oasis by DTLA/USC. RM 1,1545056,L,,Adams-Normandie,34.0282050454379,-118.30219189275923,Private room,60,2,17,2016-06-13,2.34,2,70
13748272,Warehouse/Loft near Downtown LA,38791141,Leah,,Adams-Normandie,34.031979738431964,-118.3022228786744,Entire home/apt,100,1,0,,,1,13
12943114,Two Bed Private Room in Central LA,71102929,Melissa,,Adams-Normandie,34.02723332499103,-118.29531548781205,Private room,100,1,0,,,1,89
12570324,Artist Loft-convenient location,42523268,Jenny,,Adams-Normandie,34.03155582442028,-118.3021604132868,Private room,65,1,3,2016-06-11,1.29,1,228
11622888,USC front apartment - Downtown LA,12217297,David,,Adams-Normandie,34.02626742349453,-118.29473007956004,Private room,57,2,0,,,2,17
1552495,Small Room in Central L.A. (2),2324191,Elisabeth,,Adams-Normandie,34.03145440994987,-118.29989251403758,Private room,59,2,21,2016-04-13,0.68,22,324
6046004,Master Suite (Private Bathroom),19200935,Guilherme,,Adams-Normandie,34.029301689822404,-118.29911131817782,Private room,72,1,8,2016-05-06,0.94,1,305
8327493,Quality Master Bedroom near USC,16723651,Tyler,,Adams-Normandie,34.03057835255905,-118.29762845452669,Private room,69,2,2,2015-10-22,0.23,1,0
2560403,New Modern Studio near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03391015384202,-118.30439981640149,Entire home/apt,60,1,28,2016-06-15,1.01,3,249
9048768,New Modern Studio Near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03400827255426,-118.30533888986342,Entire home/apt,65,1,8,2016-04-28,1.04,3,272
13308717,Rustic West Adams District Craftsman Home,46668642,Rick,,Adams-Normandie,34.03131118261751,-118.30865715318055,Private room,45,2,1,2016-06-27,1,1,33
2516036,Modern loft (walk to USC),12879495,Splash,,Adams-Normandie,34.02598565506031,-118.29972330774031,Entire home/apt,124,1,33,2016-06-24,1.22,1,345
12275042,Large Room For Rent in Downtown LA,56667565,Fernanda,,Adams-Normandie,34.02608724838406,-118.29436903841966,Private room,45,1,1,2016-06-11,1,6,27
13185828,"Victorian home, Private Room + Fireplace",43025020,Amy,,Adams-Normandie,34.03135572438327,-118.29611839635716,Private room,80,1,3,2016-06-26,3,1,174
13463056,Front Room in House,56667565,Fernanda,,Adams-Normandie,34.02568926514342,-118.29700899067863,Private room,35,1,2,2016-06-19,2,6,300
8924216,Small Private Room in L.A.,46666154,Liz,,Adams-Normandie,34.030179764408764,-118.29832799919575,Private room,54,1,9,2016-06-13,1.25,5,283
7770889,Beautiful 2500 sqft storefront loft,13197064,Daniel,,Adams-Normandie,34.03347686887015,-118.30115043078031,Entire home/apt,275,1,0,,,1,365
1471992,Los Angeles Room for Rent,2324191,Elisabeth,,Adams-Normandie,34.0323560664128,-118.29984890334451,Private room,64,1,18,2015-11-22,0.52,22,288
