,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month,partial_date,clean_date,weekofday
4910849,25547280,2021-07-02 00:00:00,f,75.0,$75.00,1.0,25.0,2021,7,07-02,2021-07-02,Fri
9931582,45371206,2021-06-08 00:00:00,t,210.0,$210.00,1.0,365.0,2021,6,06-08,2021-06-08,Tue
2750010,15759078,2021-02-26 00:00:00,t,31.0,$31.00,1.0,1125.0,2021,2,02-26,2021-02-26,Fri
11569504,48055172,2022-01-18 00:00:00,t,189.0,$189.00,1.0,1125.0,2022,1,01-18,2022-01-18,Tue
411461,1712418,2022-01-04 00:00:00,t,575.0,$575.00,30.0,90.0,2022,1,01-04,2022-01-04,Tue
8007217,39635119,2022-01-20 00:00:00,t,128.0,$128.00,30.0,1125.0,2022,1,01-20,2022-01-20,Thr
8677914,41829358,2021-06-09 00:00:00,t,91.0,$91.00,30.0,1125.0,2021,6,06-09,2021-06-09,Wed
4974845,25980585,2021-02-28 00:00:00,f,300.0,$300.00,3.0,200.0,2021,2,02-28,2021-02-28,Sun
3906299,21218416,2021-06-22 00:00:00,f,100.0,$100.00,30.0,1125.0,2021,6,06-22,2021-06-22,Tue
8481348,41080271,2021-03-16 00:00:00,t,35.0,$35.00,1.0,1125.0,2021,3,03-16,2021-03-16,Tue
7115948,36111140,2021-11-26 00:00:00,t,169.0,$169.00,1.0,1125.0,2021,11,11-26,2021-11-26,Fri
1649287,9452729,2021-12-04 00:00:00,f,150.0,$150.00,30.0,1125.0,2021,12,12-04,2021-12-04,Sat
2407223,13942488,2021-07-09 00:00:00,t,55.0,$55.00,1.0,1125.0,2021,7,07-09,2021-07-09,Fri
7324044,36850286,2021-07-24 00:00:00,t,1999.0,"$1,999.00",3.0,1125.0,2021,7,07-24,2021-07-24,Sat
4419883,23184792,2021-11-06 00:00:00,t,89.0,$89.00,31.0,1125.0,2021,11,11-06,2021-11-06,Sat
10061384,45483818,2021-12-23 00:00:00,t,43.0,$43.00,30.0,1125.0,2021,12,12-23,2021-12-23,Thr
4427701,23094892,2021-02-12 00:00:00,f,50.0,$50.00,30.0,1125.0,2021,2,02-12,2021-02-12,Fri
6165265,31545049,2022-01-13 00:00:00,f,552.0,$552.00,30.0,1125.0,2022,1,01-13,2022-01-13,Thr
2792894,15983120,2021-05-17 00:00:00,t,65.0,$65.00,30.0,1125.0,2021,5,05-17,2021-05-17,Mon
5152911,26753722,2021-11-15 00:00:00,f,126.0,$126.00,3.0,1125.0,2021,11,11-15,2021-11-15,Mon
6493202,33098901,2021-04-07 00:00:00,t,105.0,$105.00,2.0,30.0,2021,4,04-07,2021-04-07,Wed
8961096,42716154,2021-03-07 00:00:00,f,269.0,$269.00,3.0,1125.0,2021,3,03-07,2021-03-07,Sun
6259728,32020524,2021-06-25 00:00:00,f,25.0,$25.00,30.0,60.0,2021,6,06-25,2021-06-25,Fri
847676,4339453,2021-03-06 00:00:00,t,128.0,$128.00,3.0,1125.0,2021,3,03-06,2021-03-06,Sat
3830389,20945960,2022-01-15 00:00:00,t,248.0,$248.00,3.0,1125.0,2022,1,01-15,2022-01-15,Sat
2567227,14716365,2021-06-02 00:00:00,t,185.0,$185.00,5.0,10.0,2021,6,06-02,2021-06-02,Wed
2684949,15363623,2022-01-19 00:00:00,t,100.0,$100.00,2.0,1125.0,2022,1,01-19,2022-01-19,Wed
4498820,23453395,2021-03-12 00:00:00,t,100.0,$100.00,30.0,1125.0,2021,3,03-12,2021-03-12,Fri
7511498,37790057,2021-03-18 00:00:00,t,55.0,$55.00,30.0,1125.0,2021,3,03-18,2021-03-18,Thr
3291326,18634858,2021-04-07 00:00:00,f,85.0,$85.00,30.0,1125.0,2021,4,04-07,2021-04-07,Wed
448206,1865992,2021-08-03 00:00:00,f,4000.0,"$4,000.00",30.0,90.0,2021,8,08-03,2021-08-03,Tue
1261522,6660698,2021-06-14 00:00:00,t,250.0,$250.00,2.0,1125.0,2021,6,06-14,2021-06-14,Mon
1496610,8567694,2021-07-17 00:00:00,f,80.0,$80.00,30.0,1125.0,2021,7,07-17,2021-07-17,Sat
2954369,16771615,2021-03-31 00:00:00,f,128.0,$128.00,3.0,1125.0,2021,3,03-31,2021-03-31,Wed
