,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
21795,21795,39373869,æ¸©é¦¨çš„å®¶,178669399,Charlotte,Other Cities,Industry,34.01699,-117.84716,Private room,48.0,1,7,2019-11-16,0.44,2,0.0,2015-05-24 00:00:00
29156,29156,46416322,"ğŸŒ¸ RV with Full Bed & Twin Bed, smoking ok",196921445,Ek,Unincorporated Areas,Hacienda Heights,33.98651,-117.94421,Private room,40.0,2,1,2020-11-30,0.42,13,360.0,2015-05-24 00:00:00
12945,12945,24449883,Oasis in Hollywood,2598927,Paulina,City of Los Angeles,Hollywood,34.09614,-118.34189,Entire home/apt,132.0,2,81,2021-01-30,2.37,1,333.0,2015-05-24 00:00:00
24162,24162,42282874,"Charming, Bright & Cozy Studio w/Parking and Patio",38974403,Madison,Other Cities,Santa Monica,34.01866,-118.49112,Entire home/apt,171.0,2,26,2021-01-09,2.18,5,357.0,2015-05-24 00:00:00
10886,10886,21444040,Prime Mar Vista 2BD 1BA Apt Fully Renovated w AC,155586336,Scott,City of Los Angeles,Mar Vista,33.998,-118.43795,Entire home/apt,100.0,31,24,2020-11-30,0.6,2,285.0,2015-05-24 00:00:00
25827,25827,44001182,Modern Malibu Road Beachfront,193512222,Lesli,Other Cities,Malibu,34.0322,-118.71533,Entire home/apt,1144.0,4,14,2021-01-17,1.88,4,255.0,2015-05-24 00:00:00
25858,25858,44035076,"Stylish Sawtelle Studio, with all home comforts.",13992754,James,City of Los Angeles,Sawtelle,34.04358,-118.44899,Entire home/apt,78.0,30,1,2020-12-06,0.45,83,349.0,2015-05-24 00:00:00
25134,25134,43293682,Salubrious Living - Private Topanga Compound,2789504,Darryl,Unincorporated Areas,Topanga,34.11158,-118.62042,Entire home/apt,1100.0,30,0,,,1,62.0,2015-05-24 00:00:00
23383,23383,41297269,DTLA Hostel perfect location,301382231,Roxanne,City of Los Angeles,Historic South-Central,34.02442,-118.25801,Shared room,24.0,30,12,2020-11-14,0.93,27,180.0,2015-05-24 00:00:00
7363,7363,15328996,Fun place to live in LA Roof Top Pool with View,41011423,Feng,City of Los Angeles,Historic South-Central,34.02694,-118.27203,Entire home/apt,119.0,30,3,2017-06-24,0.06,1,0.0,2015-05-24 00:00:00
7180,7180,14984197,Quiet &Clean Rowland Hts house Queen bed ç½—å…°å²—ç‹¬ç«‹å±‹å�•é—´,21941024,Brian,Unincorporated Areas,Rowland Heights,33.97324,-117.89676,Private room,22.0,60,13,2020-11-30,0.26,1,35.0,2015-05-24 00:00:00
15377,15377,28892488,"Furnished 1BR in Santa Monica, Gym + Pool",48005494,Zeus,Other Cities,Santa Monica,34.02768,-118.47432,Entire home/apt,167.0,31,0,,,112,0.0,2015-05-24 00:00:00
2977,2977,5915124,Charmer 2 Bedroom Apt in West LA,7441408,Ali,City of Los Angeles,Pico-Robertson,34.05212,-118.38282,Entire home/apt,100.0,30,2,2017-04-17,0.04,1,0.0,2015-05-24 00:00:00
26779,26779,45102763,Artist Living Community - Month to Month,174642927,Sarah,City of Los Angeles,Mid-Wilshire,34.05173,-118.3499,Shared room,25.0,30,0,,,50,365.0,2015-05-24 00:00:00
18,18,13776,Burnham Beach Cottage 1,31306,Wendy,Other Cities,Redondo Beach,33.83847,-118.38522,Entire home/apt,165.0,2,174,2020-11-30,1.29,4,348.0,2015-05-24 00:00:00
8196,8196,16973489,A place near the heart of Long Beach- Bedroom 1,1137013,Annie,Other Cities,Long Beach,33.79634,-118.21056,Private room,60.0,1,89,2020-02-22,1.95,2,179.0,2015-05-24 00:00:00
