,listing_id,id,date,reviewer_id,reviewer_name,comments,positive,jieba,year
365122,10139386,66399770,2016-03-22,28284599,Troy & Donna,"Gary and his wife were perfect hosts. The property is better than expected and all needs and conveniences were available. Full kitchen and bath with a large closet and bed. We could not have asked for anything more. 
Placed in a quiet residential neighborhood, yet easy access to highways, small grocery store just down the street and if you wanted a mall, just a short 10 min drive. Entrance is available from the side gate in the front but around back is a gated driveway that pulls right up to the guest house and lets you park off street in a secure location. Perfect!
Thank you Gary and Robin, you hit the top mark on hosting.",positive,"['gary', ' ', 'and', ' ', 'his', ' ', 'wife', ' ', 'were', ' ', 'perfect', ' ', 'hosts', '.', ' ', 'the', ' ', 'property', ' ', 'is', ' ', 'better', ' ', 'than', ' ', 'expected', ' ', 'and', ' ', 'all', ' ', 'needs', ' ', 'and', ' ', 'conveniences', ' ', 'were', ' ', 'available', '.', ' ', 'full', ' ', 'kitchen', ' ', 'and', ' ', 'bath', ' ', 'with', ' ', 'a', ' ', 'large', ' ', 'closet', ' ', 'and', ' ', 'bed', '.', ' ', 'we', ' ', 'could', ' ', 'not', ' ', 'have', ' ', 'asked', ' ', 'for', ' ', 'anything', ' ', 'more', '.', ' ', '\r\n', 'placed', ' ', 'in', ' ', 'a', ' ', 'quiet', ' ', 'residential', ' ', 'neighborhood', ',', ' ', 'yet', ' ', 'easy', ' ', 'access', ' ', 'to', ' ', 'highways', ',', ' ', 'small', ' ', 'grocery', ' ', 'store', ' ', 'just', ' ', 'down', ' ', 'the', ' ', 'street', ' ', 'and', ' ', 'if', ' ', 'you', ' ', 'wanted', ' ', 'a', ' ', 'mall', ',', ' ', 'just', ' ', 'a', ' ', 'short', ' ', '10', ' ', 'min', ' ', 'drive', '.', ' ', 'entrance', ' ', 'is', ' ', 'available', ' ', 'from', ' ', 'the', ' ', 'side', ' ', 'gate', ' ', 'in', ' ', 'the', ' ', 'front', ' ', 'but', ' ', 'around', ' ', 'back', ' ', 'is', ' ', 'a', ' ', 'gated', ' ', 'driveway', ' ', 'that', ' ', 'pulls', ' ', 'right', ' ', 'up', ' ', 'to', ' ', 'the', ' ', 'guest', ' ', 'house', ' ', 'and', ' ', 'lets', ' ', 'you', ' ', 'park', ' ', 'off', ' ', 'street', ' ', 'in', ' ', 'a', ' ', 'secure', ' ', 'location', '.', ' ', 'perfect', '!', '\r\n', 'thank', ' ', 'you', ' ', 'gary', ' ', 'and', ' ', 'robin', ',', ' ', 'you', ' ', 'hit', ' ', 'the', ' ', 'top', ' ', 'mark', ' ', 'on', ' ', 'hosting', '.']",2016
216756,4850870,28418361,2015-03-23,1710993,Davey,"This place was more than what I expected! The place was super clean, and super comfortable. So nice that we spent a lot of time just relaxing inside. The rooftop pool and hot tub took everything to the next level. Amazing views from the roof as well. Chelsea was super fast with responding to and questions I had. The location couldn't be any better. It's right in the heart of downtown. There was a lot of things going down on the streets, but with the windows closed and the AC on you can't hear a thing which was awesome. Can't wait to come back and stay here again. Highly recommend. ",positive,"['this', ' ', 'place', ' ', 'was', ' ', 'more', ' ', 'than', ' ', 'what', ' ', 'i', ' ', 'expected', '!', ' ', 'the', ' ', 'place', ' ', 'was', ' ', 'super', ' ', 'clean', ',', ' ', 'and', ' ', 'super', ' ', 'comfortable', '.', ' ', 'so', ' ', 'nice', ' ', 'that', ' ', 'we', ' ', 'spent', ' ', 'a', ' ', 'lot', ' ', 'of', ' ', 'time', ' ', 'just', ' ', 'relaxing', ' ', 'inside', '.', ' ', 'the', ' ', 'rooftop', ' ', 'pool', ' ', 'and', ' ', 'hot', ' ', 'tub', ' ', 'took', ' ', 'everything', ' ', 'to', ' ', 'the', ' ', 'next', ' ', 'level', '.', ' ', 'amazing', ' ', 'views', ' ', 'from', ' ', 'the', ' ', 'roof', ' ', 'as', ' ', 'well', '.', ' ', 'chelsea', ' ', 'was', ' ', 'super', ' ', 'fast', ' ', 'with', ' ', 'responding', ' ', 'to', ' ', 'and', ' ', 'questions', ' ', 'i', ' ', 'had', '.', ' ', 'the', ' ', 'location', ' ', 'couldn', ""'"", 't', ' ', 'be', ' ', 'any', ' ', 'better', '.', ' ', 'it', ""'"", 's', ' ', 'right', ' ', 'in', ' ', 'the', ' ', 'heart', ' ', 'of', ' ', 'downtown', '.', ' ', 'there', ' ', 'was', ' ', 'a', ' ', 'lot', ' ', 'of', ' ', 'things', ' ', 'going', ' ', 'down', ' ', 'on', ' ', 'the', ' ', 'streets', ',', ' ', 'but', ' ', 'with', ' ', 'the', ' ', 'windows', ' ', 'closed', ' ', 'and', ' ', 'the', ' ', 'ac', ' ', 'on', ' ', 'you', ' ', 'can', ""'"", 't', ' ', 'hear', ' ', 'a', ' ', 'thing', ' ', 'which', ' ', 'was', ' ', 'awesome', '.', ' ', 'can', ""'"", 't', ' ', 'wait', ' ', 'to', ' ', 'come', ' ', 'back', ' ', 'and', ' ', 'stay', ' ', 'here', ' ', 'again', '.', ' ', 'highly', ' ', 'recommend', '.', ' ']",2015
759383,23059681,647815766,2020-08-07,14560406,Steven,The place was nice. I didn’t think the bed was very comfortable. The pool was nice but the neighbor has a bird that they put outside during the day and it made the most annoying sounds ever. That did kinda mess with the relaxation part.,positive,"['the', ' ', 'place', ' ', 'was', ' ', 'nice', '.', ' ', 'i', ' ', 'didn', '’', 't', ' ', 'think', ' ', 'the', ' ', 'bed', ' ', 'was', ' ', 'very', ' ', 'comfortable', '.', ' ', 'the', ' ', 'pool', ' ', 'was', ' ', 'nice', ' ', 'but', ' ', 'the', ' ', 'neighbor', ' ', 'has', ' ', 'a', ' ', 'bird', ' ', 'that', ' ', 'they', ' ', 'put', ' ', 'outside', ' ', 'during', ' ', 'the', ' ', 'day', ' ', 'and', ' ', 'it', ' ', 'made', ' ', 'the', ' ', 'most', ' ', 'annoying', ' ', 'sounds', ' ', 'ever', '.', ' ', 'that', ' ', 'did', ' ', 'kinda', ' ', 'mess', ' ', 'with', ' ', 'the', ' ', 'relaxation', ' ', 'part', '.']",2020
155970,3259107,38748743,2015-07-18,36625164,Amanda,"Alix and Johnny's place was perfect for our night in Venice! My boyfriend and I hit traffic on the drive up from San Diego and Alix was incredibly nice about it and flexible with our check in time. The apartment is in the perfect location in Venice, a short walk to great stores and restaurants. The space is perfect for a couple with a great patio for sitting outside and relaxing, a couch and really comfortable sleep number bed. While we didn't meet Johnny, Alix was awesome and a wonderful host and their dog Penny is adorable and well behaved! They also left a great and very clear guide to the apartment, complete with area recommendations and personal favorites of theirs.  I would highly recommend their place!",positive,"['alix', ' ', 'and', ' ', 'johnny', ""'"", 's', ' ', 'place', ' ', 'was', ' ', 'perfect', ' ', 'for', ' ', 'our', ' ', 'night', ' ', 'in', ' ', 'venice', '!', ' ', 'my', ' ', 'boyfriend', ' ', 'and', ' ', 'i', ' ', 'hit', ' ', 'traffic', ' ', 'on', ' ', 'the', ' ', 'drive', ' ', 'up', ' ', 'from', ' ', 'san', ' ', 'diego', ' ', 'and', ' ', 'alix', ' ', 'was', ' ', 'incredibly', ' ', 'nice', ' ', 'about', ' ', 'it', ' ', 'and', ' ', 'flexible', ' ', 'with', ' ', 'our', ' ', 'check', ' ', 'in', ' ', 'time', '.', ' ', 'the', ' ', 'apartment', ' ', 'is', ' ', 'in', ' ', 'the', ' ', 'perfect', ' ', 'location', ' ', 'in', ' ', 'venice', ',', ' ', 'a', ' ', 'short', ' ', 'walk', ' ', 'to', ' ', 'great', ' ', 'stores', ' ', 'and', ' ', 'restaurants', '.', ' ', 'the', ' ', 'space', ' ', 'is', ' ', 'perfect', ' ', 'for', ' ', 'a', ' ', 'couple', ' ', 'with', ' ', 'a', ' ', 'great', ' ', 'patio', ' ', 'for', ' ', 'sitting', ' ', 'outside', ' ', 'and', ' ', 'relaxing', ',', ' ', 'a', ' ', 'couch', ' ', 'and', ' ', 'really', ' ', 'comfortable', ' ', 'sleep', ' ', 'number', ' ', 'bed', '.', ' ', 'while', ' ', 'we', ' ', 'didn', ""'"", 't', ' ', 'meet', ' ', 'johnny', ',', ' ', 'alix', ' ', 'was', ' ', 'awesome', ' ', 'and', ' ', 'a', ' ', 'wonderful', ' ', 'host', ' ', 'and', ' ', 'their', ' ', 'dog', ' ', 'penny', ' ', 'is', ' ', 'adorable', ' ', 'and', ' ', 'well', ' ', 'behaved', '!', ' ', 'they', ' ', 'also', ' ', 'left', ' ', 'a', ' ', 'great', ' ', 'and', ' ', 'very', ' ', 'clear', ' ', 'guide', ' ', 'to', ' ', 'the', ' ', 'apartment', ',', ' ', 'complete', ' ', 'with', ' ', 'area', ' ', 'recommendations', ' ', 'and', ' ', 'personal', ' ', 'favorites', ' ', 'of', ' ', 'theirs', '.', ' ', ' ', 'i', ' ', 'would', ' ', 'highly', ' ', 'recommend', ' ', 'their', ' ', 'place', '!']",2015
114444,1939245,26141668,2015-02-04,2067201,Jason,"I booked Gretje and Ryan's charming place for my parents to stay at while they were in town for a visit, and I'm so glad I did. Gretje was friendly and fast to respond to questions, and the house in a nice pocket of El Sereno had everything my parents needed to enjoy their stay!",positive,"['i', ' ', 'booked', ' ', 'gretje', ' ', 'and', ' ', 'ryan', ""'"", 's', ' ', 'charming', ' ', 'place', ' ', 'for', ' ', 'my', ' ', 'parents', ' ', 'to', ' ', 'stay', ' ', 'at', ' ', 'while', ' ', 'they', ' ', 'were', ' ', 'in', ' ', 'town', ' ', 'for', ' ', 'a', ' ', 'visit', ',', ' ', 'and', ' ', 'i', ""'"", 'm', ' ', 'so', ' ', 'glad', ' ', 'i', ' ', 'did', '.', ' ', 'gretje', ' ', 'was', ' ', 'friendly', ' ', 'and', ' ', 'fast', ' ', 'to', ' ', 'respond', ' ', 'to', ' ', 'questions', ',', ' ', 'and', ' ', 'the', ' ', 'house', ' ', 'in', ' ', 'a', ' ', 'nice', ' ', 'pocket', ' ', 'of', ' ', 'el', ' ', 'sereno', ' ', 'had', ' ', 'everything', ' ', 'my', ' ', 'parents', ' ', 'needed', ' ', 'to', ' ', 'enjoy', ' ', 'their', ' ', 'stay', '!']",2015
758797,23046694,286218156,2018-07-05,23855716,Jay,"This place is large and well-furnished.  The beds and furniture are comfortable, and Dennis was a friendly and accommodating host.  The location is super convenient for many Los Angeles activities.  Recommended!",positive,"['this', ' ', 'place', ' ', 'is', ' ', 'large', ' ', 'and', ' ', 'well', '-', 'furnished', '.', ' ', ' ', 'the', ' ', 'beds', ' ', 'and', ' ', 'furniture', ' ', 'are', ' ', 'comfortable', ',', ' ', 'and', ' ', 'dennis', ' ', 'was', ' ', 'a', ' ', 'friendly', ' ', 'and', ' ', 'accommodating', ' ', 'host', '.', ' ', ' ', 'the', ' ', 'location', ' ', 'is', ' ', 'super', ' ', 'convenient', ' ', 'for', ' ', 'many', ' ', 'los', ' ', 'angeles', ' ', 'activities', '.', ' ', ' ', 'recommended', '!']",2018
692472,21079654,652414873,2020-08-16,296147674,Virgilia,"This place was beautiful as seen on the pictures, very clean & communication with Cecilia 10/10 and it’s also in a very peaceful neighborhood I would definitely stay here again!",positive,"['this', ' ', 'place', ' ', 'was', ' ', 'beautiful', ' ', 'as', ' ', 'seen', ' ', 'on', ' ', 'the', ' ', 'pictures', ',', ' ', 'very', ' ', 'clean', ' ', '&', ' ', 'communication', ' ', 'with', ' ', 'cecilia', ' ', '10', '/', '10', ' ', 'and', ' ', 'it', '’', 's', ' ', 'also', ' ', 'in', ' ', 'a', ' ', 'very', ' ', 'peaceful', ' ', 'neighborhood', ' ', 'i', ' ', 'would', ' ', 'definitely', ' ', 'stay', ' ', 'here', ' ', 'again', '!']",2020
985465,36556186,636577501,2020-07-10,55599881,Kayla,We absolutely loved Mari’s place! It’s a cute & cozy studio surrounded by a beautiful garden! The studio was very clean and had everything we needed for our short stay in LA. Perfect for a couple!,positive,"['we', ' ', 'absolutely', ' ', 'loved', ' ', 'mari', '’', 's', ' ', 'place', '!', ' ', 'it', '’', 's', ' ', 'a', ' ', 'cute', ' ', '&', ' ', 'cozy', ' ', 'studio', ' ', 'surrounded', ' ', 'by', ' ', 'a', ' ', 'beautiful', ' ', 'garden', '!', ' ', 'the', ' ', 'studio', ' ', 'was', ' ', 'very', ' ', 'clean', ' ', 'and', ' ', 'had', ' ', 'everything', ' ', 'we', ' ', 'needed', ' ', 'for', ' ', 'our', ' ', 'short', ' ', 'stay', ' ', 'in', ' ', 'la', '.', ' ', 'perfect', ' ', 'for', ' ', 'a', ' ', 'couple', '!']",2020
831944,26363450,447460483,2019-05-03,46344519,Loic,We really enjoyed our stay. The apartment is very comfortable and ideally placed. The garden and the pool are lovely. Jeremy is welcoming and very reactive. I recommend ! :),positive,"['we', ' ', 'really', ' ', 'enjoyed', ' ', 'our', ' ', 'stay', '.', ' ', 'the', ' ', 'apartment', ' ', 'is', ' ', 'very', ' ', 'comfortable', ' ', 'and', ' ', 'ideally', ' ', 'placed', '.', ' ', 'the', ' ', 'garden', ' ', 'and', ' ', 'the', ' ', 'pool', ' ', 'are', ' ', 'lovely', '.', ' ', 'jeremy', ' ', 'is', ' ', 'welcoming', ' ', 'and', ' ', 'very', ' ', 'reactive', '.', ' ', 'i', ' ', 'recommend', ' ', '!', ' ', ':', ')']",2019
364271,10106305,337852893,2018-10-17,163499733,Dianne,Great stay! ,positive,"['great', ' ', 'stay', '!', ' ']",2018
